text,score
"लंगूर,कृष्णमुख,ढेंढवा",0
कोलोबस,0
"प्रवोसिस,प्रवोसिस_बंदर",0
मार्मोसेट,0
"झड़ाई,झाड़",0
"परिष्करण,शुद्धिकरण,परिष्कार,परिशोधन,विशोधन",1
"उकारी,युकारी,उकारी_बंदर,युकारी_बंदर",0
"टीटी,टीटी_बंदर,टीटी_वानर",0
लेमर,0
"हाथी,गज,हस्ति,हस्ती,कुंजर,मितंग,गज्जू,करि,नाग,अनलपंखचार,फ़ील,फील",1
मैमथ,0
"काँटा,मत्स्य_कंटक,कांटा",0
मुंडन,0
"अभिषेक,सुप्रतिष्ठा,अभिषेचन",1
"आनंदप्रद,आनन्दप्रद,आनंद-दायक,आह्लादक,सुखप्रद,आनंददायक,आनन्ददायक,अनंद,अनन्द,रमन,रमण",1
"बरफी,बरफ़ी,बरफी,बर्फ़ी,बर्फी,कंद",0
"नुकीला,नोकदार,नोकीला,नोंकदार,पैना,अनियारी",1
"अप्रासंगिक,अप्रासाङ्गिक,प्रसंगहीन,प्रसङ्गहीन,अनुपयुक्त,अप्रसंगिक,अप्रसङ्गिक,अप्रासांगिक,अप्रासांङ्गिक",-1
"राजनैतिक,राजनीतिक,राजनीति_विषयक,राजनयिक,सियासी",0
"विरोधी,विपक्षी,प्रतिपक्षी,मुखालिफ,मुख़ालिफ़,अपवादक",-1
"ऋणात्मक,ऋण",-1
विरोधात्मक,-1
"धनात्मक,धन",1
"अवस्था,दशा,हालात,स्थिति,हालत,वृत्ति,सूरत,हाल,गति,रूप",1
संशोधन,0
भरपाई,0
"पूर्ति,आपूर्ति,पूर्णता,पूरापन",1
"बनाव-शृंगार,सज-धज,बन-सँवर,बन-ठन,बनावशृंगार,सजधज,बनाव_शृंगार",0
"दुतरफा,दुतरफ़ा,दोतरफा,दोतरफ़ा,दुतर्फा,दुतर्फ़ा,दोतर्फा,दोतर्फ़ा",1
"चिह्नन,मार्किंग,अंकन",1
"नवीनीकरण,नवीकरण",1
गिनतारा,0
"कसैला,कषाय",0
अपकर्ष,-1
योगज,-1
"बसूला,बसुला,वासि",0
"अफ़ग़ानी,अफगानी,अफ़गानी",0
"हवाई_कंपनी,हवाई_कम्पनी,हवाई_उद्योग",0
"हवाई_जहाज,हवाईजहाज,हवाईजहाज़,हवाई_जहाज़",0
"एलबम,रिकार्ड_एलबम,रेकार्ड_एलबम",0
"ऐलकोव,एलकोव,बे",0
"संभव,मुमकिन,संभावनीय,संभावित,संभाव्य,सम्भव,सम्भावनीय,सम्भावित,सम्भाव्य,शक्य,गालिब,ग़ालिब",1
"अध्यारोपित,मिथ्यारोपित",0
"असंभव,असम्भव,अनहोनी,असंभावित,नामुमकिन,असंभावी,असंभाव्य,अशक्य,अघटित,अघट,अनहोता",-1
"नामर्द,नपुंसक,पौरुषहीन,पुरषत्वहीन,वीर्यहीन,अपौरुष,अपुरुष,शंड",-1
"शक्तिशाली,बलशाली,ताकतवर,ताक़तवर,बलवान,शक्तिवान,शक्तिमान,शक्तिमान्,बलिष्ठ,बली,सबल,जबरदस्त,ज़बरदस्त,जबर्दस्त,ज़बर्दस्त,जबरजस्त,ज़बर,जबर,हट्टा-कट्टा,दमदार,सशक्त,बलवंत,बलवन्त,अपरबल",1
"विवश,बाध्य,बेबस,मजबूर,लाचार,जिच,जिच्च,ज़िच,ज़िच्च,अवश,अबस",-1
"अधिकारपूर्ण,साधिकार,बाइख़्तियार,बाइख्तियार",1
"अजोत,अनजुता,अप्रहत",-1
"अकृष्ट,अकृषित",0
"एंबुलेंस,रुग्ण-वाहिनी,रोगी-वाहन,एम्बुलेंस,अस्पताल_गाड़ी,रोगी_गाड़ी,रुग्ण_वाहिनी",0
"एंफीथियेटर,रंगभूमि",0
"ऐंटिसेप्टिक,पूतिनाशक,प्रतिपूय,प्रतिपूयिक",0
"निहाई,अरहन",0
सिद्ध,0
"वास्तुशास्त्र,स्थापत्य",0
"वर्गफल,क्षेत्रफल,रकबा,रक़बा",0
"बाजूबंद,बाज़ूबंद,बाहुबंद,केयूर,भुजबंद,बिजायठ,विजायठ,बजुल्ला,अंगद,बाजूबीर",0
"कवच,अंगरक्षी,कंचुक,बख़्तर,बख़्तर,अंगत्राण,ज़िरह,जिरह,त्राण,अँगरी,अंगरी,बकतर,बख्तर,नागोद,सन्नाह,तनुवार,वारवाण",0
"बाण,तीर,शर,बान,विहंग,शिखी,सायक,खग,पुष्कर,विशिख",-1
तराई,0
"राखदानी,ऐशट्रे,एशट्रे",0
"सभामंडप,सभा-मंडप,सभा_मंडप",0
"प्रेक्षागृह,प्रेक्षागार",0
"धुरी,धुरा,अक्ष",0
बैकरूम,0
"पिछवाड़ा,पछीत",0
"थैला,झोला",0
"समूह,ढेर,समष्टि,अंबार,अंबर,अंबार,अंबर,जखीरा,ज़क़ीरा,गंज,अड़ार,गंजी,गांज,पुंज,अड़ारी,निकर",0
"थैली,झोली,खीसा",0
"बनात,बानात,बन्नात,कैंवास,कैन्वास",0
"तराजू,तुला,तुला_यंत्र,तक,काँटा,कांटा",0
"बालकनी,बाल्कनी",0
"बालकनी,बाल्कनी",0
"गेंद,कंदुक,गेंदुक,गेंदा,बाल,बॉल",0
"ग़ुब्बारा,ग़ुबारा,गुब्बारा,फुग्गा",-1
"ग़ुब्बारा,ग़ुबारा,गुब्बारा,फुग्गा",-1
"बालपार्क,बॉलपार्क,पार्क",0
बैंजो,0
"केश_कर्तनालय,नापितशाला,भांडिशाला,भाण्डिशाला",0
बार्बिट्युरेट,0
"खलिहान,खलियान,फरवार",0
"बैरोमीटर,दाबमापी,दाबमापी_यंत्र,वायु_दाबमापी,वायु_दाबमापी_यंत्र",-1
"बैरक,बैरेक,सेना-निवास",0
"अवरोध,बैरियर,बैरिअर,अवरोधक",-1
"तथ्यहीन,अप्रामाणिक,आधारहीन,निराधार,सारहीन,निर्मूल,यथार्थहीन,अनाधार,आधाररहित",0
"बास्केटबाल,बास्केटबॉल,बास्केट_बाल,बास्केटबॉल",0
बैट,0
"संगीन,बेनट",0
"बाज़ार,बजार,बाजार,फड़,फर",0
"मनका,गुरिया",1
तिल,0
"तलहटी,तली,तल",0
"बिछौना,बिस्तर,बिछावन",0
घंटी,0
"कंटकारिका,अंगुरशफा,साग_अंगुर,बेलाडोना",0
"पैड़ी,पैरी,पौड़ी,सीढ़ी,सोपान,पायदान",0
"बेल्ट,पट्टा,पेटी,कमरबंद",0
बेंच,0
मोड़,0
ऊँट,0
"गाँस,फल,गाँसी,गांस,गासी,गांसी,अंकुड़ा,अँकुड़ा,अँकड़ा,अंकड़ा",0
"आड़,ओट,अंतर,अन्तर",-1
"नाकाबंदी,घेराबंदी,नाकेबंदी",0
"नाकाबंदी,घेराबंदी,नाकेबंदी",0
"कुरती,कुर्ती",0
"अश्लील,कामुकतापूर्ण,गंदा,गन्दा,भद्दा",-1
"बोर्ड,पट्ट,फलक",0
"लक्षण,ख़ासियत,खासियत,गुण-धर्म,विशेषता,गुण,सिफ़त,सिफत,पहचान,अभिज्ञान,पहिचान",1
"माँझी,नाविक,केवट,खेवट,खेवटिया",0
रील,0
"उपयोगी,उपादेय",1
विधेयात्मक,1
"बारीक़,बारीक,महीन",1
"गर्भवती,गर्भिणी,दोहदवती,अंतर्वत्नी,अन्तर्वत्नी,हामला,हामिला,अलवांती",0
"अवश्यंभावी,अटल,तय,अटलनीय,अनिवार्य,अबाध्य",0
"बिछाना,डालना",0
"श्रवणीय,श्रव्य",1
वर्तमान,0
"सर्वव्यापी,सर्वव्यापक,सर्वव्याप्त,अपरिच्छन्न",0
"अनुपस्थित,ग़ैरहाज़िर,गैरहाजिर,ग़ैरमौज़ूद,गैरमौजूद,अविद्यमान,अप्रस्तुत,अप्राप्त",-1
"थान,कपड़े_का_थान",0
"थान,कपड़े_का_थान",0
"अकेला,एकल,अपृक्त",-1
"बमबाज,बमबाज़",0
पाड़,0
"लौकी,घीया,कद्दू",0
"कदमताल,प्रयाण,मार्च",0
"गेंद,बाल,बॉल",0
"गेंद,बाल,बॉल",0
"गेंद,बाल,बॉल",0
"प्रत्यंचा,चिल्ला,रोदा,पतंचिका,जिह,पैंच,द्रुणा,परतंचा,पतञ्चिका,परतिंचा",-1
"डिब्बा,डब्बा,संपुट,सम्पुट",0
ब्रेक,0
"राजगीर,राजमिस्त्री,राज-मिस्त्री,थवई,मेमार,राज",0
"पुल,सेतु",0
"ब्यालू,ब्यारी",0
"खड्ग,खंग,खंजर,खाँड़ा,खांडा,खाण्डा",0
"कमखाब,कमख़ाब",0
दमचूल्हा,1
झाड़ना,-1
डोल,0
"बकलस,बकसुआ,बकसुवा,पट्टबंध,बकल,बक्कल",0
बिगुल,0
"दौड़,दौड़ना",0
"बुलडोजर,बुलडौजर",0
गोली,-1
"सूचना_पट्ट,सूचना-पट्ट",0
"पोटली,पोटरी,बकुचा",0
"बँगला,बंगला",0
बुगदा,0
"कुलाबा,अंकुड़ा,अँकुड़ा,पायजा,अँकड़ा,अंकड़ा",0
"बटन,बुताम",0
काज,0
"रस्सा,रसरा,जेवड़ा",0
"सवारी,जुलूस,जलूस",1
"कपूर,कर्पूर,रेणुसार,मिहिका,इंदु,इन्दु,हिमांशु,अब्ज,शशांक,निशारत्न",0
"कपूर,कर्पूर,रेणुसार,मिहिका,इंदु,इन्दु,हिमांशु,अब्ज,शशांक,निशारत्न",0
"नहर,कुल्या",-1
तोप,0
"डोंगी,द्रोणी",0
"तल्लीन,अनुरत,निमग्न,लीन,तन्मय,मग्न,मगन,मस्त,डूबा_हुआ,दत्तचित्त,लिप्त,मशग़ूल,मशगूल,अनुरक्त,अनुसंरक्त,अभिनिविष्ट,सन्नद्ध",1
पर्यटन,0
"कैप्सूल,कैपसूल",0
"चालन,परिचालन",0
"ताश,तास,कार्ड,पत्ता,गंजीफा,गंजीफ़ा",0
"व्यंग्य_चित्र,व्यंग्य-चित्र,व्यंग्यचित्र,कार्टून",-1
"कारतूस,टोटा",0
"नक्काशी,नक्क़ाशी",0
"टेप,कैसेट",0
"विमानन,हवाई_यात्रा",0
"संचार,संसूचना,संप्रेषण",1
"जल_भंडारण,जल_भंडारण_कक्ष,जलग्रहण_संरचना",0
"छत,छतगीरि",0
"सेल,बैटरी",0
"कोठरी,खोली,कोष्ठ",0
"शहीद_स्मारक,शहीद-स्मारक",0
"धूपदान,धूपदानी,अरयारी",0
"केंद्र_बिंदु,केंद्र,केन्द्र_बिन्दु,केन्द्र,मध्य_बिंदु,नाभि",0
"जंजीर,साँकल,सिकड़ी,संकल,शृंखला,चेन",0
"लड़ी,लड़,लर",-1
"खड़िया,खड़िया_मिट्टी,चॉक,खटिका,खड़ी,खरी_मिट्टी,खरिया",0
बरहा,0
"सारथी,अधिरथ,सूत,रथवान",0
जाँच,0
चेकर,0
"बिसात,शतरंजी",0
"अप्रधान,अप्रमुख,आनुषंगिक,गौण",-1
"निजी,अपना,स्वकीय,स्वायत्त,आत्म",1
"अनसुना,अश्रुत,अनसुन",0
"सामूहिक,आम,सार्वजनिक,सामुदायिक,सामान्य,सर्वजनीन",-1
"खुलेआम,खुलकर,सरेआम,सरे-आम,खुले-आम,खुल्लम-खुल्ला,खुल्लमखुल्ला,डंके_की_चोट_पर,सरे_आम,अगुप्ततः",1
"लाभान्वित,लाभ_प्राप्तकर्ता",1
"वंचित,महरूम",-1
"उत्पादक,उत्पादन_कर्ता",0
धनी,1
"फल,फर,प्रसून",0
सृजनशील,1
छेनी,0
"क्लोरोफार्म,क्लोरोफ़ार्म",0
सिगरेट,0
"परिपथ,सर्किट,विद्युत_परिपथ",0
"सरकस,सर्कस,सरकस_का_खेल",-1
शिकंजा,-1
क्लारनेट,0
"कक्षा,क्लास",0
"उड़ान,उड्डयन",0
"वस्त्राच्छाद,वस्त्रावरण",-1
क्लब,0
क्लच,0
"आलेप,प्रलेप,लेप",0
"आलेप,प्रलेप,लेप",0
